index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,iig_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,0,65,10,False,5,0,0.35,1.0
1,0,A,mfu_v7,0.2104118147886605,0.319,0.55,0.0,iig_effectiveness,0.23,0.0,0.011798071836600707,0.35,0.61515,0.4474,0.0013684210526315789,0.35,1.0,0,0.755,0,65,10,False,5,0,0.35,1.0
2,1,A,mfu_v7,0.24974732724923798,0.38127661177982974,0.55,0.0,iig_effectiveness,0.21000000000000002,0.0,0.024288882868657817,0.35,0.6387327811908383,0.4653,0.0017894736842105263,0.35,1.0,1,0.76,0,65,10,False,5,0,0.35,1.0
3,2,A,mfu_v7,0.2980409028567383,0.43190309886632533,0.55,0.0,iig_effectiveness,0.19000000000000003,0.0,0.047216728771710306,0.35,0.6666717669754806,0.4641,0.0030526315789473684,0.35,1.0,1,0.765,0,65,10,False,5,0,0.35,1.0
4,3,A,mfu_v7,0.34347706306639103,0.46428550434767624,0.55,0.0,iig_effectiveness,0.17000000000000004,0.0,0.06063061867071236,0.35,0.6821719276064357,0.4693,0.004,0.35,1.0,1,0.77,0,65,10,False,5,0,0.35,1.0
5,4,A,mfu_v7,0.37612029665165325,0.4764479473238909,0.55,0.0,iig_effectiveness,0.15000000000000005,0.0,0.0806589783293645,0.35,0.6861256381316723,0.4875,0.005157894736842105,0.35,1.0,1,0.7395511093354367,0,65,10,False,5,0,0.35,1.0
6,5,A,mfu_v7,0.40063325960237745,0.498995685802761,0.55,0.02631578947368421,iig_effectiveness,0.13000000000000006,0.0,0.09173519923632589,0.35,0.7084377636365888,0.4957,0.00631578947368421,0.35,1.0,2,0.7324618897666894,0,65,10,False,5,0,0.35,1.0
7,6,A,mfu_v7,0.42011529112622986,0.5003016354576583,0.55,0.08333333333333333,iig_effectiveness,0.11000000000000006,0.0,0.10199570868682768,0.35,0.7062083656476157,0.5046,0.007684210526315789,0.35,1.0,2,0.725372670197942,0,65,10,False,5,0,0.35,1.0
8,7,A,mfu_v7,0.4396470344044852,0.5128261813416859,0.55,0.21428571428571427,iig_effectiveness,0.09000000000000005,0.0,0.11941759641971521,0.35,0.7235581853823851,0.5177,0.00936842105263158,0.35,1.0,2,0.7537323412937581,0,65,10,False,5,0,0.35,1.0
9,8,A,mfu_v7,0.46363028908923276,0.52184274175245,0.55,0.29411764705882354,iig_effectiveness,0.07000000000000005,0.0,0.12754784341349107,0.35,0.7328636085013194,0.5203,0.010736842105263157,0.35,1.0,2,0.7820920123895742,0,65,10,False,5,0,0.35,1.0
10,9,A,mfu_v7,0.4828474530629029,0.5295260971989769,0.55,0.35064935064935066,iig_effectiveness,0.050000000000000044,0.0,0.13044429954652634,0.35,0.742375840802999,0.5396,0.012526315789473684,0.35,1.0,2,0.8104516834853902,0,65,10,False,5,0,0.35,1.0
